,Zona,Edad,Etnia,Alfabetismo,NivelEdu,CondActiv,Analfabetismo
Pobreza Moderada,0.6321549565005624,-0.0759690417200775,-0.2962315973848269,0.0,-0.2704502072644666,-0.004755264905171149,-0.006404595691561601
No Pobre,-0.4273356260408091,0.05403236418308371,0.055745339376059015,0.0,-0.04180195440855741,0.02414697104809952,0.007099365388988268
Nivel_6,-0.41768856044559505,0.11159486953316514,0.049533604275974016,0.0,0.3276202563134896,-0.02010207926484118,-0.031637004856621735
Pobreza Extrema,0.5920928083383211,-0.31699777095493,-0.20125240967321462,0.0,-0.6674040050530342,0.06377529570278415,0.08525712941817314
Vulnerable,0.5003801221652516,-0.04568116321161177,-0.14263116363456343,0.0,-0.1891160592040508,0.04753672284226977,0.023605292512554405
Nivel_5,-0.2109420938459227,0.17057591914202583,0.41373169447165187,0.0,0.5685102641850669,-0.10257076120748575,-0.032215601056119925
Nivel_4,-0.6686616066718069,0.10244482302834446,0.1211045325689203,0.0,0.2726417054315526,-0.008030884215655157,-0.045704585715413686
